bias_abs_V,input_a_V,input_b_V,common_V,output_A,effective_mA,delta_M_independent
8.0,7.379999999999999,-4.0,-2.5168908323861996,-0.018036543314519083,18.036543314519083,0.006273133396978214
8.0,7.543999999999999,-4.0,-2.4662290458669647,-0.018203193928069194,18.203193928069194,0.007718557282902605
8.0,7.707999999999999,-4.0,-2.4155672593477298,-0.018369844541619308,18.369844541619308,0.009319778610967111
8.0,7.871999999999999,-4.0,-2.3649054728284953,-0.018536495155169426,18.536495155169426,0.011091850095976352
8.0,8.036,-4.0,-2.31424368630926,-0.01870314576871954,18.70314576871954,0.013050872407750713
8.0,8.2,-4.0,-2.2635818997900254,-0.01886979638226965,18.86979638226965,0.015213969755772938
8.0,8.363999999999999,-4.0,-2.212920113270791,-0.01903644699581977,19.03644699581977,0.01759923675254499
8.0,8.527999999999999,-4.0,-2.1622583267515556,-0.019203097609369883,19.203097609369884,0.020225650203667456
8.0,8.691999999999998,-4.0,-2.111596540232321,-0.019369748222919994,19.369748222919995,0.023112938959524376
8.0,8.855999999999998,-4.0,-2.0609347537130867,-0.019536398836470112,19.536398836470113,0.02628140466245904
8.0,9.02,-4.0,-2.010272967193851,-0.019703049450020226,19.703049450020227,0.029751686245506337
8.0,9.184,-4.0,-1.9596111806746161,-0.01986970006357034,19.869700063570342,0.03354446151574603
8.0,9.347999999999999,-4.0,-1.9089493941553817,-0.020036350677120455,20.036350677120456,0.037680080234404834
8.0,9.511999999999999,-4.0,-1.858287607636147,-0.02020300129067057,20.20300129067057,0.04217812493971779
8.0,9.675999999999998,-4.0,-1.8076258211169118,-0.020369651904220683,20.369651904220685,0.047056898489019006
8.0,9.839999999999998,-4.0,-1.7569640345976771,-0.020536302517770798,20.536302517770796,0.05233284103060448
8.0,10.004,-4.0,-1.706302248078442,-0.020702953131320912,20.70295313132091,0.05801988389492874
8.0,10.168,-4.0,-1.6556404615592069,-0.02086960374487103,20.86960374487103,0.06412875365791532
8.0,10.331999999999999,-4.0,-1.6049786750399724,-0.021036254358421144,21.036254358421143,0.07066624617583778
8.0,10.495999999999999,-4.0,-1.5543168885207377,-0.02120290497197126,21.202904971971257,0.07763449734798583
8.0,10.659999999999998,-4.0,-1.5036551020015032,-0.02136955558552137,21.36955558552137,0.08503028416621311
8.0,10.823999999999998,-4.0,-1.452993315482268,-0.021536206199071487,21.536206199071486,0.09284439551265611
8.0,10.987999999999998,-4.0,-1.4023315289630334,-0.0217028568126216,21.7028568126216,0.10106111628305309
